table_catalog,table_schema,table_name,column_name,data_type,is_nullable,description,default_value,table_description,,,,,,,,,,,,,table_name | column_name | data_type | description
default_catalog,default_schema,Plant_2_Weather_Sensor_Data,SOURCE_KEY,object,YES,Unique key identifying the data source in Plant_2_Weather_Sensor_Data.,null,"This table, Plant_2_Weather_Sensor_Data, contains data related to weather sensors, including temperature readings and timestamps.",,,,,,,,,,,,,Plant_2_Weather_Sensor_Data | SOURCE_KEY | object | Unique key identifying the data source in Plant_2_Weather_Sensor_Data.
default_catalog,default_schema,Plant_2_Weather_Sensor_Data,AMBIENT_TEMPERATURE,float64,YES,Ambient temperature recorded by sensors in Plant_2_Weather_Sensor_Data.,null,"This table, Plant_2_Weather_Sensor_Data, contains data related to weather sensors, including temperature readings and timestamps.",,,,,,,,,,,,,Plant_2_Weather_Sensor_Data | AMBIENT_TEMPERATURE | float64 | Ambient temperature recorded by sensors in Plant_2_Weather_Sensor_Data.
default_catalog,default_schema,Plant_2_Weather_Sensor_Data,MODULE_TEMPERATURE,float64,YES,Temperature of the solar module recorded in Plant_2_Weather_Sensor_Data.,null,"This table, Plant_2_Weather_Sensor_Data, contains data related to weather sensors, including temperature readings and timestamps.",,,,,,,,,,,,,Plant_2_Weather_Sensor_Data | MODULE_TEMPERATURE | float64 | Temperature of the solar module recorded in Plant_2_Weather_Sensor_Data.
default_catalog,default_schema,Plant_2_Weather_Sensor_Data,IRRADIATION,float64,YES,Description for IRRADIATION in Plant_2_Weather_Sensor_Data.,null,"This table, Plant_2_Weather_Sensor_Data, contains data related to weather sensors, including temperature readings and timestamps.",,,,,,,,,,,,,Plant_2_Weather_Sensor_Data | IRRADIATION | float64 | Description for IRRADIATION in Plant_2_Weather_Sensor_Data.
default_catalog,default_schema,Plant_1_Generation_Data,DATE_TIME,object,YES,Timestamp indicating the date and time of the record in Plant_1_Generation_Data.,null,"This table, Plant_1_Generation_Data, contains data related to weather sensors, including temperature readings and timestamps.",,,,,,,,,,,,,Plant_1_Generation_Data | DATE_TIME | object | Timestamp indicating the date and time of the record in Plant_1_Generation_Data.
default_catalog,default_schema,Plant_1_Generation_Data,PLANT_ID,int64,YES,Identifier for the plant associated with the record in Plant_1_Generation_Data.,null,"This table, Plant_1_Generation_Data, contains data related to weather sensors, including temperature readings and timestamps.",,,,,,,,,,,,,Plant_1_Generation_Data | PLANT_ID | int64 | Identifier for the plant associated with the record in Plant_1_Generation_Data.
default_catalog,default_schema,Plant_1_Generation_Data,SOURCE_KEY,object,YES,Unique key identifying the data source in Plant_1_Generation_Data.,null,"This table, Plant_1_Generation_Data, contains data related to weather sensors, including temperature readings and timestamps.",,,,,,,,,,,,,Plant_1_Generation_Data | SOURCE_KEY | object | Unique key identifying the data source in Plant_1_Generation_Data.
default_catalog,default_schema,Plant_1_Generation_Data,DC_POWER,float64,YES,Direct Current (DC) power generated by Plant 1 in kilowatts.,null,"This table, Plant_1_Generation_Data, contains data related to weather sensors, including temperature readings and timestamps.",,,,,,,,,,,,,Plant_1_Generation_Data | DC_POWER | float64 | Direct Current (DC) power generated by Plant 1 in kilowatts.
default_catalog,default_schema,Plant_1_Generation_Data,AC_POWER,float64,YES,Alternating Current (AC) power output of Plant 1 in kilowatts.,null,"This table, Plant_1_Generation_Data, contains data related to weather sensors, including temperature readings and timestamps.",,,,,,,,,,,,,Plant_1_Generation_Data | AC_POWER | float64 | Alternating Current (AC) power output of Plant 1 in kilowatts.
default_catalog,default_schema,Plant_1_Generation_Data,DAILY_YIELD,float64,YES,"Energy yield of Plant 1 on a daily basis in kilowatt-hours.""",null,"This table, Plant_1_Generation_Data, contains data related to weather sensors, including temperature readings and timestamps.",,,,,,,,,,,,,"Plant_1_Generation_Data | DAILY_YIELD | float64 | Energy yield of Plant 1 on a daily basis in kilowatt-hours."""
default_catalog,default_schema,Plant_1_Generation_Data,TOTAL_YIELD,float64,YES,"Total cumulative energy yield of Plant 1 in kilowatt-hours.""",null,"This table, Plant_1_Generation_Data, contains data related to weather sensors, including temperature readings and timestamps.",,,,,,,,,,,,,"Plant_1_Generation_Data | TOTAL_YIELD | float64 | Total cumulative energy yield of Plant 1 in kilowatt-hours."""
